step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
60,TRANSFER,581421.85,C1021314422,581421.85,0.0,C2062695733,0.0,0.0,1,0
325,CASH_OUT,238360.26,C1514751118,14640.0,0.0,C1138551599,3807447.91,4045808.17,0,0
378,PAYMENT,2848.95,C1423052732,10699.0,7850.05,M679245101,0.0,0.0,0,0
212,PAYMENT,4311.23,C254779836,0.0,0.0,M869604074,0.0,0.0,0,0
371,CASH_OUT,124335.79,C1769415220,100702.0,0.0,C988185489,612950.6,737286.38,0,0
304,PAYMENT,8087.53,C1690915997,0.0,0.0,M944362767,0.0,0.0,0,0
581,TRANSFER,801763.51,C1070533651,801763.51,0.0,C1336603610,0.0,0.0,1,0
162,CASH_OUT,220118.83,C925729591,162269.18,0.0,C619111314,5684454.45,5904573.29,0,0
132,CASH_IN,351834.35,C122836187,5118.0,356952.35,C2109967812,3062803.19,2710968.84,0,0
22,PAYMENT,6986.78,C1220451218,494989.73,488002.95,M500611095,0.0,0.0,0,0
229,CASH_IN,519866.5,C304547494,52734.0,572600.5,C1732090738,37690.95,0.0,0,0
11,CASH_IN,697313.14,C1842972977,273287.49,970600.62,C1029472813,210215.66,0.0,0,0
373,CASH_IN,297453.26,C1741000151,15548.0,313001.26,C1610286205,52868.61,0.0,0,0
93,TRANSFER,370557.35,C815438032,591530.0,220972.65,C1854779647,0.0,370557.35,0,0
83,CASH_OUT,2498370.12,C1275891732,2498370.12,0.0,C989926584,2343446.74,4841816.86,1,0
188,PAYMENT,683.04,C1215573678,11251.0,10567.96,M214948778,0.0,0.0,0,0
188,CASH_OUT,212775.95,C68075709,0.0,0.0,C1662739391,1177650.6,1390426.55,0,0
382,CASH_OUT,66873.09,C715028755,569.0,0.0,C744955981,22251.47,89124.56,0,0
649,CASH_OUT,150205.64,C347416384,150205.64,0.0,C636863555,0.0,150205.64,1,0
13,CASH_OUT,78770.93,C977123289,42523.0,0.0,C814685882,6435.49,54269.05,0,0
206,PAYMENT,13972.67,C1116517283,210687.4,196714.73,M894967481,0.0,0.0,0,0
405,PAYMENT,15251.75,C1887997205,30577.0,15325.25,M1330741984,0.0,0.0,0,0
87,TRANSFER,114339.1,C702109004,114339.1,0.0,C1385287774,0.0,0.0,1,0
252,CASH_OUT,70253.11,C1037269037,317096.0,246842.89,C466069846,788499.47,720401.51,0,0
255,CASH_IN,202469.77,C846439227,11262.0,213731.77,C1011906884,0.0,0.0,0,0
225,TRANSFER,969007.05,C897827911,0.0,0.0,C1253461000,2872209.18,3841216.23,0,0
188,CASH_OUT,69966.16,C1257672203,50616.0,0.0,C1501575806,1478332.89,1548299.04,0,0
204,CASH_IN,148585.11,C670483723,3827714.96,3976300.06,C1895566746,1242952.92,1094367.82,0,0
331,CASH_IN,93310.94,C1926289698,23.0,93333.94,C1173254129,375342.97,282032.03,0,0
283,CASH_IN,173402.79,C1759877390,376309.05,549711.84,C968657078,486830.14,313427.36,0,0
357,PAYMENT,15316.91,C457896501,0.0,0.0,M1215743608,0.0,0.0,0,0
166,PAYMENT,3286.4,C1606923902,8690.0,5403.6,M421612144,0.0,0.0,0,0
371,PAYMENT,5938.05,C1352291831,0.0,0.0,M89991650,0.0,0.0,0,0
15,CASH_OUT,181393.14,C547746042,577933.51,396540.36,C2003613716,1960888.75,2142281.89,0,0
303,CASH_OUT,243859.49,C352170288,48619.0,0.0,C841587132,34748.89,278608.38,0,0
185,TRANSFER,762434.52,C504895582,0.0,0.0,C1018616018,852149.31,1614583.83,0,0
373,TRANSFER,530354.58,C1625326980,530354.58,0.0,C1011865698,0.0,0.0,1,0
178,PAYMENT,1834.35,C2015768117,48618.31,46783.96,M995055783,0.0,0.0,0,0
350,PAYMENT,872.44,C1852193228,34357.0,33484.56,M620602770,0.0,0.0,0,0
