window,step_start,step_end,feature,psi,band,binning,n_bins,n_rows,breached,sufficient_sample
0,1,24,amount,0.0033316670776568024,stable,quantile,10,574255,False,True
0,1,24,hour_of_day,0.0547865048805375,stable,quantile,10,574255,False,True
0,1,24,is_night,6.0144869493998264e-05,stable,categorical,3,574255,False,True
0,1,24,orig_balance_delta,0.0012066888669767604,stable,quantile,8,574255,False,True
0,1,24,dest_balance_delta,0.03512575535482112,stable,quantile,7,574255,False,True
0,1,24,orig_balance_mismatch,0.002870215243512666,stable,categorical,3,574255,False,True
0,1,24,orig_emptied,0.0010016801551007077,stable,categorical,3,574255,False,True
0,1,24,amount_to_balance_ratio,0.0051514882068078305,stable,quantile,10,574255,False,True
0,1,24,dest_is_merchant,2.9925933383683565e-05,stable,categorical,3,574255,False,True
0,1,24,is_transfer,3.8558014417754695e-05,stable,categorical,3,574255,False,True
0,1,24,is_cash_out,6.4317788249511285e-06,stable,categorical,3,574255,False,True
0,1,24,is_cash_in,7.267052395280292e-05,stable,categorical,3,574255,False,True
0,1,24,is_debit,0.0002890205454967861,stable,categorical,3,574255,False,True
0,1,24,dest_prior_txn_count,0.015705550146074675,stable,quantile,7,574255,False,True
0,1,24,dest_prior_avg_amount,0.018014482121024633,stable,quantile,7,574255,False,True
0,1,24,dest_amount_to_prior_avg_ratio,0.0028611811328469452,stable,quantile,10,574255,False,True
0,1,24,dest_txn_count_24h,0.34771071405209986,significant,quantile,5,574255,True,True
0,1,24,dest_amount_sum_24h,0.2915341131783874,significant,quantile,6,574255,True,True
1,25,48,amount,0.0031993960285745682,stable,quantile,10,455238,False,True
1,25,48,hour_of_day,0.0037826007637754206,stable,quantile,10,455238,False,True
1,25,48,is_night,5.432970304530046e-05,stable,categorical,3,455238,False,True
1,25,48,orig_balance_delta,0.0004998476617309772,stable,quantile,8,455238,False,True
1,25,48,dest_balance_delta,0.0011424284872405923,stable,quantile,7,455238,False,True
1,25,48,orig_balance_mismatch,4.9629038437158166e-06,stable,categorical,3,455238,False,True
1,25,48,orig_emptied,3.763688860838016e-06,stable,categorical,3,455238,False,True
1,25,48,amount_to_balance_ratio,0.0005900003073460286,stable,quantile,10,455238,False,True
1,25,48,dest_is_merchant,0.00019597862273803434,stable,categorical,3,455238,False,True
1,25,48,is_transfer,1.4684644409663384e-05,stable,categorical,3,455238,False,True
1,25,48,is_cash_out,0.00020470131562093334,stable,categorical,3,455238,False,True
1,25,48,is_cash_in,1.3108130059703593e-06,stable,categorical,3,455238,False,True
1,25,48,is_debit,0.00012206829280151433,stable,categorical,3,455238,False,True
1,25,48,dest_prior_txn_count,0.000869743550133817,stable,quantile,7,455238,False,True
1,25,48,dest_prior_avg_amount,0.0007487404592832043,stable,quantile,7,455238,False,True
1,25,48,dest_amount_to_prior_avg_ratio,0.004147981939621815,stable,quantile,10,455238,False,True
1,25,48,dest_txn_count_24h,0.4282085537645861,significant,quantile,5,455238,True,True
1,25,48,dest_amount_sum_24h,0.3077422683877645,significant,quantile,6,455238,True,True
2,49,72,amount,0.4373326038515164,significant,quantile,10,1070,True,True
2,49,72,hour_of_day,3.0637588316409228,significant,quantile,10,1070,True,True
2,49,72,is_night,3.9389465566195643,significant,categorical,3,1070,True,True
2,49,72,orig_balance_delta,0.4870435758987102,significant,quantile,8,1070,True,True
2,49,72,dest_balance_delta,0.28419601420357454,significant,quantile,7,1070,True,True
2,49,72,orig_balance_mismatch,0.7281836684374113,significant,categorical,3,1070,True,True
2,49,72,orig_emptied,0.11244371105364397,moderate,categorical,3,1070,False,True
2,49,72,amount_to_balance_ratio,0.7143741572670108,significant,quantile,10,1070,True,True
2,49,72,dest_is_merchant,0.053055865540378014,stable,categorical,3,1070,False,True
2,49,72,is_transfer,0.08079613715529155,stable,categorical,3,1070,False,True
2,49,72,is_cash_out,0.08378696658403062,stable,categorical,3,1070,False,True
2,49,72,is_cash_in,0.05943078033897721,stable,categorical,3,1070,False,True
2,49,72,is_debit,0.020509500807630126,stable,categorical,3,1070,False,True
2,49,72,dest_prior_txn_count,0.17881173652187982,moderate,quantile,7,1070,False,True
2,49,72,dest_prior_avg_amount,0.17554425158527504,moderate,quantile,7,1070,False,True
2,49,72,dest_amount_to_prior_avg_ratio,0.3699717935377798,significant,quantile,10,1070,True,True
2,49,72,dest_txn_count_24h,0.19548127947019583,moderate,quantile,5,1070,False,True
2,49,72,dest_amount_sum_24h,0.08719357584859923,stable,quantile,6,1070,False,True
3,73,96,amount,0.17243599477162586,moderate,quantile,10,28240,False,True
