window,step_start,step_end,window_days,in_reference_period,n_rows,n_fraud,fraud_rate,score_psi,score_band,score_breached,sufficient_sample,features_breached,mean_score,p99_score,n_flagged,alert_rate,alerts_per_day,capacity,precision_at_deployed_threshold,recall_at_deployed_threshold,precision_at_capacity,recall_at_capacity,precision_ceiling_at_capacity,at_ceiling
0,1,24,1.0,True,574255,271,0.00047191578654082243,0.023448399781289618,stable,False,True,2,0.0005553456721827388,4.983630333299516e-06,4594,0.007999930344533352,4594.0,500,0.05898998693948629,1.0,0.542,1.0,0.542,True
1,25,48,1.0,True,455238,309,0.0006787658323777892,0.011744667971102178,stable,False,True,2,0.0007132836617529392,3.732933237188263e-06,3222,0.0070776165434344234,3222.0,500,0.09590316573556797,1.0,0.618,1.0,0.618,True
2,49,72,1.0,True,1070,310,0.2897196261682243,1.6780745296624984,significant,True,True,8,0.2897225022315979,1.0,320,0.29906542056074764,320.0,500,0.96875,1.0,0.62,1.0,0.62,True
3,73,96,1.0,True,28240,262,0.009277620396600567,0.2657104527765573,significant,True,True,4,0.009286336600780487,6.977157318033278e-05,302,0.010694050991501416,302.0,500,0.8675496688741722,1.0,0.524,1.0,0.524,True
4,97,120,1.0,True,9789,252,0.025743181121667177,0.26515540408204513,significant,True,True,5,0.02575722523033619,1.0,273,0.027888446215139442,273.0,500,0.9230769230769231,1.0,0.504,1.0,0.504,True
5,121,144,1.0,True,441005,228,0.0005170009410324146,0.00096766477281565,stable,False,True,0,0.0005445264978334308,1.6943206446740078e-06,2121,0.004809469280393646,2121.0,500,0.1074964639321075,1.0,0.456,1.0,0.456,True
6,145,168,1.0,True,420583,272,0.0006467213368110456,0.0010468714480305471,stable,False,True,0,0.000695614202413708,2.362552550039254e-06,2368,0.005630279873413809,2368.0,500,0.11486486486486487,1.0,0.544,1.0,0.544,True
7,169,192,1.0,True,449637,278,0.0006182765208379204,0.00046777085493630903,stable,False,True,0,0.0006529942620545626,1.963320983122685e-06,2298,0.005110789370091874,2298.0,500,0.12097476066144473,1.0,0.556,1.0,0.556,True
8,193,216,1.0,True,417919,255,0.0006101660848154786,0.0012001308988063835,stable,False,True,0,0.0006466046907007694,1.8616461829878972e-06,2135,0.005108645455219792,2135.0,500,0.11943793911007025,1.0,0.51,1.0,0.51,True
9,217,240,1.0,True,392945,282,0.000717657687462622,0.0027041734598278926,stable,False,True,0,0.0007480917847715318,1.5741871948193875e-06,1845,0.004695313593505453,1845.0,500,0.15284552845528454,1.0,0.564,1.0,0.564,True
10,241,264,1.0,True,417859,262,0.0006270057603162789,0.004829402801440271,stable,False,True,0,0.0006644231616519392,1.3632875379698817e-06,1921,0.004597244525067068,1921.0,500,0.13638729828214471,1.0,0.524,1.0,0.524,True
11,265,288,1.0,True,349776,298,0.0008519738346827684,0.0048113906517384085,stable,False,True,0,0.0008771678549237549,1.2280091823413386e-06,1522,0.004351356296601254,1522.0,500,0.19579500657030224,1.0,0.596,1.0,0.596,True
12,289,312,1.0,True,428583,242,0.0005646514210782976,0.0036276667242801388,stable,False,True,0,0.0005941872368566692,1.336713239652454e-06,1956,0.004563876775327066,1956.0,500,0.12372188139059305,1.0,0.484,1.0,0.484,True
13,313,336,1.0,True,397876,246,0.0006182830831716414,0.004541575877768663,stable,False,True,0,0.0006448167841881514,1.3483906968758674e-06,1740,0.004373221807799415,1740.0,500,0.1413793103448276,1.0,0.492,1.0,0.492,True
14,337,360,1.0,False,401282,250,0.0006230032745052108,0.007474607180998532,stable,False,True,1,0.0006484693149104714,1.1179948842254817e-06,1637,0.0040794254414601204,1637.0,500,0.15271838729383017,1.0,0.5,1.0,0.5,True
15,361,384,1.0,False,375594,252,0.0006709372354190961,0.007342388057509965,stable,False,True,1,0.000692743924446404,1.104530042539409e-06,1577,0.004198682620063153,1577.0,500,0.15979708306911858,1.0,0.504,1.0,0.504,True
16,385,408,1.0,False,425766,320,0.0007515865522376141,0.00778277867082992,stable,False,True,1,0.0007825843058526516,1.1139620710309828e-06,1784,0.004190095028724698,1784.0,500,0.17937219730941703,1.0,0.64,1.0,0.64,True
17,409,432,1.0,False,20999,268,0.012762512500595267,0.031089728250133255,stable,False,True,3,0.012781178578734398,1.0,325,0.015476927472736797,325.0,500,0.8246153846153846,1.0,0.536,1.0,0.536,True
18,433,456,1.0,False,11300,256,0.02265486725663717,0.09064274936142902,stable,False,True,3,0.02272879332304001,1.0,272,0.024070796460176992,272.0,500,0.9411764705882353,1.0,0.512,1.0,0.512,True
19,457,480,1.0,False,19727,236,0.01196329903178385,0.028524644141973886,stable,False,True,3,0.011980114504694939,1.0,283,0.014345820449130632,283.0,500,0.833922261484099,1.0,0.472,1.0,0.472,True
20,481,504,1.0,False,24593,272,0.01106005774000732,0.044608356615191525,stable,False,True,3,0.011101832613348961,0.9999999403953552,319,0.012971170658317408,319.0,500,0.8526645768025078,1.0,0.544,1.0,0.544,True
21,505,528,1.0,False,53437,256,0.0047906881000056144,0.04759971112474101,stable,False,True,3,0.004799871705472469,1.3169872090657009e-06,370,0.006924041394539364,370.0,500,0.6918918918918919,1.0,0.512,1.0,0.512,True
22,529,552,1.0,False,51012,216,0.004234297812279464,0.025033522342789022,stable,False,True,3,0.00427034730091691,1.2523181567303254e-06,338,0.006625891946992864,338.0,500,0.6390532544378699,1.0,0.432,1.0,0.432,True
23,553,576,1.0,False,32709,280,0.008560335075972973,0.019506075281044515,stable,False,True,3,0.008561478927731514,2.296402453794144e-05,370,0.011311871350392858,370.0,500,0.7567567567567568,1.0,0.56,1.0,0.56,True
24,577,600,1.0,False,57853,240,0.004148445197310425,0.02139717584493002,stable,False,True,3,0.004169900435954332,1.3167814358894248e-06,406,0.0070177864587834685,406.0,500,0.5911330049261084,1.0,0.48,1.0,0.48,True
25,601,624,1.0,False,13885,272,0.019589485055815627,0.02437129198796968,stable,False,True,3,0.019651083275675774,1.0,310,0.022326251350378107,310.0,500,0.8774193548387097,1.0,0.544,1.0,0.544,True
26,625,648,1.0,False,8578,280,0.03264164140825367,0.013393126124648963,stable,False,True,3,0.03265666961669922,1.0,306,0.035672650967591514,306.0,500,0.9150326797385621,1.0,0.56,1.0,0.56,True
27,649,672,1.0,False,14661,248,0.016915626492053748,0.021808890976598404,stable,False,True,3,0.016917608678340912,1.0,283,0.019302912488916173,283.0,500,0.8763250883392226,1.0,0.496,1.0,0.496,True
28,673,696,1.0,False,54890,260,0.004736746219712151,0.020158160898856362,stable,False,True,3,0.004747937899082899,1.6495523595949635e-06,393,0.007159774093641829,393.0,500,0.6615776081424937,1.0,0.52,1.0,0.52,True
29,697,720,1.0,False,11287,268,0.023744130415522282,0.023497831731138587,stable,False,True,5,0.02374463528394699,1.0,278,0.024630105431026846,278.0,500,0.9640287769784173,1.0,0.536,1.0,0.536,True
30,721,743,0.9583333333333334,False,272,272,1.0,5.566546996590898,significant,False,False,0,0.9999993443489075,1.0,272,1.0,283.82608695652175,272,1.0,1.0,1.0,1.0,1.0,True
