feature,overall_mean,true_positive_n,true_positive_mean,false_positive_n,false_positive_mean,false_negative_n,false_negative_mean,fp_vs_tp_std_gap,fn_vs_tp_std_gap
orig_balance_delta,-18687.656,4250,1.5557481e+06,3835,11839.28,0,,-7.568075,
dest_amount_to_prior_avg_ratio,29039.242,4250,1.0258284e+06,3835,164810.33,0,,-4.2155027,
amount,174132.98,4250,1.5724429e+06,3835,306649.1,0,,-2.9449866,
orig_balance_mismatch,0.7917799,4250,0.0030588235,3835,0.9040417,0,,2.2189767,
orig_emptied,0.2466478,4250,0.9705882,3835,0.076140806,0,,-2.0749946,
is_night,0.024045914,4250,0.26117647,3835,0.03624511,0,,-1.4682989,
is_transfer,0.08683901,4250,0.5,3835,0.11238592,0,,-1.3764746,
dest_balance_delta,100176.12,4250,778254.0,3835,307335.78,0,,-1.0661908,
amount_to_balance_ratio,62431.004,4250,0.9864012,3835,280696.22,0,,0.98157567,
is_cash_out,0.33914375,4250,0.5,3835,0.8380704,0,,0.7141041,
hour_of_day,15.742886,4250,11.390118,3835,14.281356,0,,0.63142115,
dest_txn_count_24h,0.25400165,4250,0.042588234,3835,0.36636245,0,,0.5564341,
dest_amount_sum_24h,75634.45,4250,11079.594,3835,82728.875,0,,0.20725024,
dest_prior_txn_count,5.173799,4250,2.7764707,3835,2.0837028,0,,-0.0847597,
dest_is_merchant,0.3452187,4250,0.0,3835,0.039634943,0,,0.083364815,
is_cash_in,0.22167215,4250,0.0,3835,0.008344199,0,,0.020088503,
is_debit,0.0071264063,4250,0.0,3835,0.0015645372,0,,0.018599594,
dest_prior_avg_amount,155407.34,4250,88019.23,3835,88572.85,0,,0.0015163571,
