model,pr_auc,roc_auc,weighted_bce,precision_at_k,recall_at_k,k,n_test_fraud,capacity_k,capacity_threshold,capacity_precision,capacity_recall,capacity_alert_rate,capacity_false_positives,capacity_false_negatives,fold
Logistic Regression (class_weight=balanced),0.4988341581849847,0.9959419975690436,0.14251678632554146,0.1979706877113867,0.9898534385569335,4435,887,1562,0.9413633942604065,0.557618437900128,0.9819616685456595,0.0012474573672260525,691,16,1
"Ridge-penalized Logistic Regression (L2, C=0.1)",0.4688565376477702,0.9955994661777772,0.12416144705509964,0.1979706877113867,0.9898534385569335,4435,887,1562,0.9598002433776855,0.5505761843790012,0.9695603156708005,0.0012474573672260525,702,27,1
"Lasso-penalized Logistic Regression (L1, C=0.1)",0.4496444146142156,0.9945122446224712,0.10797165391418236,0.1979706877113867,0.9898534385569335,4435,887,1562,0.9605945348739624,0.5441741357234315,0.9582863585118376,0.0012474573672260525,712,37,1
HistGradientBoosting (class_weight=balanced),0.9899100634581179,0.9955507328883062,0.06953552673248813,0.1979706877113867,0.9898534385569335,4435,887,1562,0.19022806992604327,0.5603063178047224,0.9898534385569335,0.0012514505086064177,689,9,1
XGBoost (default params),0.9899332613979552,0.9980700171251056,0.08724745003307605,0.1979706877113867,0.9898534385569335,4435,887,1562,0.12019886821508408,0.5610223642172524,0.9898534385569335,0.0012498532520542715,687,9,1
LightGBM (default params),0.9902593421105603,0.9972322383817269,0.09422427989909143,0.19819616685456595,0.9909808342728298,4435,887,1562,0.3753906280238614,0.5620998719590269,0.9898534385569335,0.0012474573672260525,684,9,1
Logistic Regression (class_weight=balanced),0.4098811593419526,0.9995800551135305,0.03756378513796844,0.2,1.0,3850,770,1542,0.9798130989074707,0.42412451361867703,0.8493506493506493,0.0011923125993110568,888,116,2
"Ridge-penalized Logistic Regression (L2, C=0.1)",0.303783936572353,0.9993353811212018,0.04301847507779542,0.2,1.0,3850,770,1542,0.9933955073356628,0.33787289234760054,0.6766233766233766,0.0011923125993110568,1021,249,2
"Lasso-penalized Logistic Regression (L1, C=0.1)",0.23942193526538205,0.9991445596526776,0.07417151765042086,0.2,1.0,3850,770,1542,0.9933844208717346,0.23735408560311283,0.4753246753246753,0.0011923125993110568,1176,404,2
HistGradientBoosting (class_weight=balanced),0.9999659745715013,0.9999999834210269,0.0030883263196407793,0.2,1.0,3850,770,1542,0.2714487093460102,0.4993514915693904,1.0,0.0011923125993110568,772,0,2
XGBoost (default params),1.0,1.0,0.002574352883809803,0.2,1.0,3850,770,1542,0.3392937183380127,0.49805950840879687,1.0,0.0011954054984013578,776,0,2
LightGBM (default params),0.9986912075097337,0.999999226314588,0.07919145837694692,0.2,1.0,3850,770,1542,0.4633654146566887,0.49838187702265374,1.0,0.0011946322736287826,775,0,2
Logistic Regression (class_weight=balanced),0.9556784845988484,0.9991877040471516,0.04889597276624415,0.19891764705882353,0.9945882352941177,21250,4250,8083,0.36687856912612915,0.5228256835333416,0.9943529411764706,0.006472945442431387,3857,24,3
"Ridge-penalized Logistic Regression (L2, C=0.1)",0.9681632009195887,0.9994225470454091,0.043484622867567775,0.19891764705882353,0.9945882352941177,21250,4250,8083,0.34948915243148804,0.5228256835333416,0.9943529411764706,0.006472945442431387,3857,24,3
"Lasso-penalized Logistic Regression (L1, C=0.1)",0.9934681576992755,0.9994525675660473,0.06265425367615374,0.1992,0.996,21250,4250,8083,0.41504010558128357,0.5235679821848324,0.995764705882353,0.006472945442431387,3851,18,3
HistGradientBoosting (class_weight=balanced),0.9997371954950885,0.9999979423586266,0.003347777697594319,0.2,1.0,21250,4250,8083,0.03443946047683533,0.5255474452554745,0.9995294117647059,0.006472945442431387,3835,2,3
XGBoost (default params),0.9998764737820236,0.9999995090815192,0.0038514981497725655,0.2,1.0,21250,4250,8083,0.0018836366944015026,0.5257298367144978,1.0,0.006473746252210235,3834,0,3
LightGBM (default params),0.9999762470028324,0.9999999143515995,0.0022754263602643883,0.2,1.0,21250,4250,8083,5.040453604586884e-05,0.5257948781393047,1.0,0.006472945442431387,3833,0,3
XGBoost (tuned),0.9913596379869871,0.9989423062905467,0.7506130326156623,0.1984216459977452,0.992108229988726,4435,887,1562,0.4187221825122833,0.5627400768245838,0.9909808342728298,0.0012474573672260525,683,8,1
LightGBM (tuned),0.9905740798207179,0.9991589812305722,0.12881113837998853,0.19819616685456595,0.9909808342728298,4435,887,1562,0.003048975052410893,0.5620998719590269,0.9898534385569335,0.0012474573672260525,684,9,1
XGBoost (tuned),0.9999999999999999,1.0,1.0176958005253705,0.2,1.0,3850,770,1542,0.4641636610031128,0.49581455247907275,1.0,0.0012008180718093846,783,0,2
LightGBM (tuned),1.0,1.0,0.03681154237418016,0.2,1.0,3850,770,1542,0.4524879038606402,0.4993514915693904,1.0,0.0011923125993110568,772,0,2
XGBoost (tuned),0.9999610447512093,0.9999998582925472,0.6032107185891245,0.2,1.0,21250,4250,8083,0.3250572681427002,0.5257948781393047,1.0,0.006472945442431387,3833,0,3
LightGBM (tuned),0.999894300641547,0.9999994889456371,0.003865058238413189,0.2,1.0,21250,4250,8083,2.739413707222314e-05,0.5257948781393047,1.0,0.006472945442431387,3833,0,3
