model,k_multiplier,precision_at_k_mean,precision_at_k_std,recall_at_k_mean,recall_at_k_std
HistGradientBoosting (class_weight=balanced),1,0.9960280496743127,0.005363376702189854,0.9960280496743127,0.005363376702189854
HistGradientBoosting (class_weight=balanced),2,0.49823047505360657,0.0028635541721394125,0.9964609501072131,0.005727108344278825
HistGradientBoosting (class_weight=balanced),5,0.19932356257046224,0.0011716239961007075,0.9966178128523112,0.005858119980503496
HistGradientBoosting (class_weight=balanced),10,0.09966178128523112,0.0005858119980503537,0.9966178128523112,0.005858119980503496
"Lasso-penalized Logistic Regression (L1, C=0.1)",1,0.5489958392294091,0.4137529541442124,0.5489958392294091,0.4137529541442124
"Lasso-penalized Logistic Regression (L1, C=0.1)",2,0.4099406864108768,0.1497670720047375,0.8198813728217536,0.299534144009475
"Lasso-penalized Logistic Regression (L1, C=0.1)",5,0.19905689590379558,0.00102219674130869,0.9952844795189778,0.005110983706543432
"Lasso-penalized Logistic Regression (L1, C=0.1)",10,0.09955982050091738,0.0005204887754708159,0.995598205009174,0.0052048877547081355
LightGBM (default params),1,0.9958711869292146,0.005214587961167046,0.9958711869292146,0.005214587961167046
LightGBM (default params),2,0.4983089064261556,0.002929059990251748,0.9966178128523112,0.005858119980503496
LightGBM (default params),5,0.19939872228485533,0.001041443552089535,0.9969936114242767,0.005207217760447518
LightGBM (default params),10,0.09969936114242767,0.0005207217760447675,0.9969936114242767,0.005207217760447518
LightGBM (tuned),1,0.9963040873621152,0.005606211358220464,0.9963040873621152,0.005606211358220464
LightGBM (tuned),2,0.4983089064261556,0.002929059990251748,0.9966178128523112,0.005858119980503496
LightGBM (tuned),5,0.19939872228485533,0.001041443552089535,0.9969936114242767,0.005207217760447518
LightGBM (tuned),10,0.09969936114242767,0.0005207217760447675,0.9969936114242767,0.005207217760447518
Logistic Regression (class_weight=balanced),1,0.6314493290603113,0.29575066001129885,0.6314493290603113,0.29575066001129885
Logistic Regression (class_weight=balanced),2,0.4722595048473422,0.041224458725630644,0.9445190096946844,0.08244891745126129
Logistic Regression (class_weight=balanced),5,0.19896277825673678,0.001015408641852163,0.9948138912836838,0.005077043209260786
Logistic Regression (class_weight=balanced),10,0.09948923226562327,0.0005073630520874022,0.9948923226562328,0.005073630520873994
"Ridge-penalized Logistic Regression (L2, C=0.1)",1,0.5878280938284918,0.3534311818724208,0.5878280938284918,0.3534311818724208
"Ridge-penalized Logistic Regression (L2, C=0.1)",2,0.4432551758430132,0.09145299859231902,0.8865103516860264,0.18290599718463804
"Ridge-penalized Logistic Regression (L2, C=0.1)",5,0.19896277825673678,0.001015408641852163,0.9948138912836838,0.005077043209260786
"Ridge-penalized Logistic Regression (L2, C=0.1)",10,0.09950491854013309,0.000507771317949617,0.9950491854013307,0.00507771317949614
XGBoost (default params),1,0.995833499126821,0.005310831042278108,0.995833499126821,0.005310831042278108
XGBoost (default params),2,0.4983089064261556,0.002929059990251748,0.9966178128523112,0.005858119980503496
XGBoost (default params),5,0.19932356257046224,0.0011716239961007075,0.9966178128523112,0.005858119980503496
XGBoost (default params),10,0.09966178128523112,0.0005858119980503537,0.9966178128523112,0.005858119980503496
XGBoost (tuned),1,0.9960687932444681,0.005445289350524385,0.9960687932444681,0.005445289350524385
XGBoost (tuned),2,0.49849680571213834,0.002603608880223759,0.9969936114242767,0.005207217760447518
XGBoost (tuned),5,0.1994738819992484,0.0009112631080783406,0.9973694099962419,0.004556315540391629
XGBoost (tuned),10,0.09977452085682074,0.00039054133203357007,0.9977452085682074,0.003905413320335739
