alert_rank,row_index,fraud_score,is_fraud,reason_rank,feature,feature_value,shap_contribution
1,945573,0.9999999886006102,1,1,orig_balance_mismatch,0.0,12.294050474282637
1,945573,0.9999999886006102,1,2,orig_emptied,1.0,7.880131266361258
1,945573,0.9999999886006102,1,3,amount_to_balance_ratio,1.0,7.879321790577449
1,945573,0.9999999886006102,1,4,dest_is_merchant,0.0,2.016098607795883
2,30078,0.9999999883511131,1,1,orig_balance_mismatch,0.0,11.654555231559247
2,30078,0.9999999883511131,1,2,amount_to_balance_ratio,1.0,5.894070453670204
2,30078,0.9999999883511131,1,3,orig_emptied,1.0,3.6380320371289456
2,30078,0.9999999883511131,1,4,amount,2935952.75,3.4389824178160184
3,633040,0.9999999883511131,1,1,orig_balance_mismatch,0.0,11.654555231559247
3,633040,0.9999999883511131,1,2,amount_to_balance_ratio,1.0,5.894070453670204
3,633040,0.9999999883511131,1,3,orig_emptied,1.0,3.6380320371289456
3,633040,0.9999999883511131,1,4,amount,2641674.5,3.4389824178160184
4,197559,0.9999999883511131,1,1,orig_balance_mismatch,0.0,11.654555231559247
4,197559,0.9999999883511131,1,2,amount_to_balance_ratio,1.0,5.894070453670204
4,197559,0.9999999883511131,1,3,orig_emptied,1.0,3.6380320371289456
4,197559,0.9999999883511131,1,4,amount,3085336.75,3.4389824178160184
5,253217,0.9999999883511131,1,1,orig_balance_mismatch,0.0,11.654555231559247
5,253217,0.9999999883511131,1,2,amount_to_balance_ratio,1.0,5.894070453670204
5,253217,0.9999999883511131,1,3,orig_emptied,1.0,3.6380320371289456
5,253217,0.9999999883511131,1,4,amount,2925111.5,3.4389824178160184
6,70640,0.9999999883511131,1,1,orig_balance_mismatch,0.0,11.654555231559247
6,70640,0.9999999883511131,1,2,amount_to_balance_ratio,1.0,5.894070453670204
6,70640,0.9999999883511131,1,3,orig_emptied,1.0,3.6380320371289456
6,70640,0.9999999883511131,1,4,amount,3547485.25,3.4389824178160184
7,998987,0.9999999883511131,1,1,orig_balance_mismatch,0.0,11.654555231559247
7,998987,0.9999999883511131,1,2,amount_to_balance_ratio,1.0,5.894070453670204
7,998987,0.9999999883511131,1,3,orig_emptied,1.0,3.6380320371289456
7,998987,0.9999999883511131,1,4,amount,2756011.75,3.4389824178160184
8,1003246,0.9999999883339558,1,1,orig_balance_mismatch,0.0,11.70445182641036
8,1003246,0.9999999883339558,1,2,amount_to_balance_ratio,1.0,5.731688668164121
8,1003246,0.9999999883339558,1,3,amount,10000000.0,4.086708209025484
8,1003246,0.9999999883339558,1,4,dest_amount_to_prior_avg_ratio,10000000.0,3.24295539572259
9,607130,0.9999999883339558,1,1,orig_balance_mismatch,0.0,11.70445182641036
9,607130,0.9999999883339558,1,2,amount_to_balance_ratio,1.0,5.731688668164121
9,607130,0.9999999883339558,1,3,amount,10000000.0,4.086708209025484
9,607130,0.9999999883339558,1,4,dest_amount_to_prior_avg_ratio,10000000.0,3.24295539572259
10,672752,0.9999999883339558,1,1,orig_balance_mismatch,0.0,11.70445182641036
10,672752,0.9999999883339558,1,2,amount_to_balance_ratio,1.0,5.731688668164121
10,672752,0.9999999883339558,1,3,amount,7576324.5,4.086708209025484
10,672752,0.9999999883339558,1,4,dest_amount_to_prior_avg_ratio,7576324.5,3.24295539572259
11,787340,0.9999999883316143,1,1,orig_balance_mismatch,0.0,11.681113197336707
11,787340,0.9999999883316143,1,2,amount_to_balance_ratio,1.0,5.86486133046525
11,787340,0.9999999883316143,1,3,orig_emptied,1.0,3.6028120837941624
11,787340,0.9999999883316143,1,4,amount,2360965.75,3.508875254287752
12,837545,0.9999999883144283,1,1,orig_balance_mismatch,0.0,11.748893335594197
