feature,mean_abs_shap,mean_signed_shap,share_of_total_abs_shap,rank
orig_balance_mismatch,1.5367212930602705,-0.5006581386139872,0.2518113727529948,1
orig_emptied,1.0592310661604598,-0.3085750212553657,0.17356851241471188,2
orig_balance_delta,0.5250628383214052,0.009164865302957757,0.08603823913703736,3
amount_to_balance_ratio,0.46295312431340246,0.07896044200003582,0.07586077077222719,4
is_cash_out,0.42902354943831394,-0.07986151559799685,0.0703009774220569,5
dest_is_merchant,0.3846768164535652,-0.02547389873368044,0.06303419992607923,6
dest_prior_avg_amount,0.26240689386664023,0.07765880069058005,0.04299871451173843,7
hour_of_day,0.2531165643125154,0.021300550193770963,0.04147637558865816,8
amount,0.2282961232826039,0.0073485006562116605,0.03740922993492012,9
dest_balance_delta,0.2236866557326655,0.014121283359584198,0.03665390991908375,10
dest_prior_txn_count,0.20741047300675805,0.05540420804712635,0.033986849903778434,11
dest_amount_to_prior_avg_ratio,0.1607110007945131,0.013219656609543372,0.02633454609455118,12
is_transfer,0.1264056667014653,0.016940782942665114,0.020713179806642473,13
dest_txn_count_24h,0.1127747967219411,-0.10551316301756974,0.01847958800514789,14
dest_amount_sum_24h,0.07596525111336816,-0.023826120984541982,0.012447874738749368,15
is_cash_in,0.04781828383783167,0.011351230209147072,0.00783563535578893,16
is_night,0.00343572525674003,0.0003873183448534815,0.000562987379174625,17
is_debit,0.0029722212339179225,0.0017423895897675078,0.00048703633665933614,18
